iter	Passed	Remaining
1039	383498	3303990
1040	383869	3303636
1041	384260	3303462
1042	384671	3303454
1043	385038	3303073
1044	385422	3302830
1045	385792	3302473
1046	386163	3302118
1047	386557	3301972
1048	386926	3301596
1049	387290	3301191
1050	387651	3300751
1051	388012	3300316
1052	388366	3299823
1053	388725	3299371
1054	389102	3299072
1055	389461	3298619
1056	389825	3298210
1057	390196	3297858
1058	390574	3297571
1059	390929	3297088
1060	391292	3296667
1061	391655	3296247
1062	392027	3295911
1063	392385	3295448
1064	392738	3294947
1065	393114	3294639
1066	393511	3294507
1067	393871	3294060
1068	394276	3293995
1069	394653	3293696
1070	395000	3293147
1071	395412	3293137
1072	395783	3292787
1073	396155	3292440
1074	396514	3291995
1075	396904	3291800
1076	397257	3291299
1077	397603	3290740
1078	397964	3290308
1079	398318	3289813
1080	398696	3289524
1081	399063	3289140
1082	399433	3288777
1083	399799	3288389
1084	400155	3287915
1085	400512	3287451
1086	400871	3286997
1087	401242	3286650
1088	401607	3286245
1089	401961	3285761
1090	402363	3285658
1091	402709	3285109
1092	403103	3284939
1093	403462	3284496
1094	403846	3284246
1095	404194	3283712
1096	404555	3283278
1097	404919	3282872
1098	405287	3282499
1099	405670	3282245
1100	406051	3281971
1101	406412	3281539
1102	406760	3281007
1103	407125	3280607
1104	407483	3280152
1105	407839	3279679
1106	408201	3279258
1107	408574	3278921
1108	408959	3278682
1109	409320	3278252
1110	409692	3277911
1111	410053	3277476
1112	410425	3277135
1113	410780	3276658
1114	411123	3276083
1115	411470	3275539
1116	411848	3275249
1117	412203	3274765
1118	412589	3274533
1119	412965	3274226
1120	413334	3273856
1121	413729	3273702
1122	414076	3273155
1123	414443	3272774
1124	414803	3272336
1125	415183	3272055
1126	415578	3271900
1127	415944	3271509
1128	416306	3271084
1129	416679	3270747
1130	417037	3270300
1131	417405	3269923
1132	417761	3269450
1133	418149	3269238
1134	418500	3268732
1135	418881	3268454
1136	419256	3268131
1137	419614	3267684
1138	419975	3267256
1139	420332	3266795
1140	420695	3266384
1141	421050	3265909
1142	421407	3265450
1143	421765	3264992
1144	422113	3264469
1145	422467	3263988
1146	422845	3263689
1147	423207	3263268
1148	423566	3262827
1149	423916	3262311
1150	424289	3261978
1151	424666	3261671
1152	425040	3261345
1153	425417	3261045
1154	425769	3260545
1155	426172	3260440
1156	426505	3259797
1157	426854	3259281
1158	427201	3258748
1159	427581	3258468
1160	427937	3257999
1161	428287	3257494
1162	428661	3257166
1163	429031	3256804
1164	429379	3256278
1165	429733	3255803
1166	430102	3255435
1167	430463	3255007
1168	430839	3254700
1169	431230	3254503
1170	431583	3254011
1171	431939	3253549
1172	432299	3253118
1173	432662	3252706
1174	433030	3252339
1175	433416	3252094
1176	433786	3251740
1177	434135	3251226
1178	434510	3250907
1179	434873	3250494
1180	435228	3250025
1181	435587	3249588
1182	435950	3249177
1183	436315	3248783
1184	436673	3248334
1185	437017	3247782
1186	437387	3247429
1187	437739	3246934
1188	438096	3246484
1189	438487	3246281
1190	438858	3245929
1191	439220	3245518
1192	439583	3245104
1193	439945	3244686
1194	440309	3244290
1195	440660	3243791
1196	441028	3243421
1197	441398	3243062
1198	441759	3242640
1199	442103	3242091
1200	442473	3241735
1201	442840	3241359
1202	443212	3241016
1203	443598	3240775
1204	443970	3240430
1205	444327	3239979
1206	444690	3239574
1207	445050	3239143
1208	445401	3238649
1209	445740	3238068
1210	446094	3237595
1211	446446	3237103
1212	446815	3236743
1213	447169	3236267
1214	447549	3235987
1215	447910	3235566
1216	448268	3235121
1217	448639	3234774
1218	448992	3234291
1219	449348	3233833
1220	449695	3233312
1221	450057	3232898
1222	450418	3232477
1223	450783	3232088
1224	451154	3231742
1225	451529	3231416
1226	451896	3231042
1227	452245	3230536
1228	452629	3230279
1229	452992	3229872
1230	453357	3229479
1231	453723	3229096
1232	454066	3228547
1233	454433	3228170
1234	454808	3227848
1235	455180	3227506
1236	455555	3227191
1237	455916	3226769
1238	456273	3226322
1239	456645	3225981
1240	457000	3225514
1241	457377	3225207
1242	457724	3224691
1243	458077	3224214
1244	458426	3223716
1245	458783	3223265
1246	459114	3222637
1247	459463	3222138
1248	459833	3221783
1249	460191	3221340
1250	460552	3220923
1251	460929	3220614
1252	461273	3220077
1253	461671	3219918
1254	462044	3219585
1255	462397	3219112
1256	462744	3218593
1257	463107	3218192
1258	463460	3217719
1259	463822	3217308
1260	464179	3216866
1261	464554	3216543
1262	464926	3216201
1263	465278	3215724
1264	465651	3215390
1265	466037	3215143
1266	466383	3214622
1267	466744	3214204
1268	467104	3213783
1269	467457	3213309
1270	467820	3212908
1271	468178	3212472
1272	468547	3212107
1273	468907	3211686
1274	469273	3211300
1275	469621	3210795
1276	469984	3210395
1277	470364	3210106
1278	470732	3209741
1279	471105	3209408
1280	471448	3208870
1281	471837	3208642
1282	472205	3208276
1283	472563	3207840
1284	472915	3207358
1285	473287	3207021
1286	473646	3206587
1287	474000	3206128
1288	474390	3205905
1289	474753	3205506
1290	475103	3205018
1291	475470	3204639
1292	475828	3204203
1293	476181	3203734
1294	476540	3203311
1295	476895	3202856
1296	477270	3202530
1297	477648	3202230
1298	478017	3201871
1299	478366	3201373
1300	478713	3200869
1301	479065	3200396
1302	479423	3199955
1303	479766	3199426
1304	480141	3199106
1305	480511	3198751
1306	480878	3198378
1307	481240	3197971
1308	481602	3197560
1309	481952	3197073
1310	482304	3196599
1311	482651	3196092
1312	482998	3195585
1313	483370	3195248
1314	483721	3194767
1315	484076	3194314
1316	484446	3193962
1317	484801	3193507
1318	485150	3193016
1319	485526	3192704
1320	485888	3192301
1321	486231	3191764
1322	486575	3191242
1323	486938	3190846
1324	487294	3190400
1325	487639	3189882
1326	487999	3189462
1327	488341	3188927
1328	488714	3188594
1329	489064	3188111
1330	489425	3187703
1331	489778	3187238
1332	490153	3186919
1333	490519	3186535
1334	490883	3186149
1335	491227	3185622
1336	491569	3185090
1337	491923	3184635
1338	492288	3184248
1339	492658	3183895
1340	493006	3183404
